IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
3.23.95.93,443,443,true,IAD,North America,US,Ashburn,461,7.98
3.249.160.5,443,443,true,DUB,Europe,IE,Dublin,277,7.98
54.172.207.45,8443,443,true,IAD,North America,US,Ashburn,253,7.98
3.133.85.167,443,443,true,IAD,North America,US,Ashburn,250,7.98
54.198.203.151,443,443,true,IAD,North America,US,Ashburn,336,7.98
3.15.173.3,443,443,true,IAD,North America,US,Ashburn,310,7.97
16.171.60.7,443,443,true,ARN,Europe,SE,Stockholm,240,7.97
3.133.104.147,443,443,true,IAD,North America,US,Ashburn,242,7.97
3.138.157.182,443,443,true,IAD,North America,US,Ashburn,247,7.97
3.145.16.38,443,443,true,CMH,North America,US,Columbus,247,7.97
18.191.53.128,443,443,true,IAD,North America,US,Ashburn,271,7.96
52.56.228.129,443,443,true,LHR,Europe,GB,London,294,7.96
18.226.248.4,443,443,true,IAD,North America,US,Ashburn,310,7.96
3.14.4.217,443,443,true,IAD,North America,US,Ashburn,305,7.96
35.155.38.149,443,443,true,PDX,North America,US,Portland,297,7.96
3.85.17.84,8443,443,true,IAD,North America,US,Ashburn,342,7.96
67.226.221.54,80,443,true,SJC,North America,US,San Jose,579,7.96
3.75.233.131,443,443,true,FRA,Europe,DE,Frankfurt,238,7.96
52.56.228.129,443,443,true,LHR,Europe,GB,London,333,7.96
3.18.105.195,443,443,true,IAD,North America,US,Ashburn,400,7.95
3.141.107.39,443,443,true,IAD,North America,US,Ashburn,256,7.95
18.218.19.58,443,443,true,IAD,North America,US,Ashburn,237,7.95
3.19.14.6,443,443,true,IAD,North America,US,Ashburn,245,7.95
18.191.207.193,443,443,true,IAD,North America,US,Ashburn,309,7.95
18.217.155.2,443,443,true,CMH,North America,US,Columbus,273,7.94
3.138.195.55,443,443,true,IAD,North America,US,Ashburn,290,7.94
18.217.134.195,443,443,true,IAD,North America,US,Ashburn,284,7.94
3.133.90.120,443,443,true,IAD,North America,US,Ashburn,334,7.94
3.129.243.31,443,443,true,IAD,North America,US,Ashburn,287,7.94
3.140.210.32,443,443,true,IAD,North America,US,Ashburn,300,7.93
18.117.109.25,443,443,true,IAD,North America,US,Ashburn,244,7.93
54.229.71.228,443,443,true,DUB,Europe,IE,Dublin,351,7.93
54.80.6.186,8443,443,true,IAD,North America,US,Ashburn,350,7.93
3.144.33.84,443,443,true,IAD,North America,US,Ashburn,283,7.93
3.16.36.178,443,443,true,IAD,North America,US,Ashburn,387,7.93
18.117.222.227,443,443,true,IAD,North America,US,Ashburn,278,7.92
54.91.75.24,443,443,true,IAD,North America,US,Ashburn,303,7.92
3.17.191.109,443,443,true,IAD,North America,US,Ashburn,400,7.92
52.47.168.64,2053,443,true,CDG,Europe,FR,Paris,318,7.92
18.221.158.147,443,443,true,IAD,North America,US,Ashburn,310,7.92
18.192.62.218,443,443,true,FRA,Europe,DE,Frankfurt,244,7.92
3.19.55.125,443,443,true,IAD,North America,US,Ashburn,329,7.92
3.22.167.42,443,443,true,IAD,North America,US,Ashburn,243,7.92
3.145.13.7,443,443,true,IAD,North America,US,Ashburn,242,7.91
18.220.73.208,443,443,true,IAD,North America,US,Ashburn,262,7.91
3.142.189.225,443,443,true,IAD,North America,US,Ashburn,438,7.91
52.202.177.57,443,443,true,IAD,North America,US,Ashburn,271,7.91
54.203.85.46,80,443,true,PDX,North America,US,Portland,263,7.91
3.134.107.68,443,443,true,IAD,North America,US,Ashburn,432,7.91
54.205.18.16,443,443,true,IAD,North America,US,Ashburn,368,7.91
3.64.11.137,8080,443,true,FRA,Europe,DE,Frankfurt,418,7.91
34.229.180.223,443,443,true,IAD,North America,US,Ashburn,295,7.91
3.23.60.95,443,443,true,IAD,North America,US,Ashburn,313,7.91
3.133.113.199,443,443,true,IAD,North America,US,Ashburn,333,7.90
107.20.56.121,443,443,true,IAD,North America,US,Ashburn,315,7.90
18.119.11.214,443,443,true,IAD,North America,US,Ashburn,266,7.90
54.171.191.123,443,443,true,DUB,Europe,IE,Dublin,281,7.90
67.226.221.212,80,443,true,SJC,North America,US,San Jose,394,7.90
18.220.1.133,443,443,true,IAD,North America,US,Ashburn,345,7.90
3.139.102.38,443,443,true,IAD,North America,US,Ashburn,301,7.89
18.220.184.207,443,443,true,IAD,North America,US,Ashburn,332,7.89
3.144.129.115,443,443,true,IAD,North America,US,Ashburn,305,7.89
3.23.175.7,2096,443,true,ORD,North America,US,Chicago,238,7.89
3.143.245.25,443,443,true,IAD,North America,US,Ashburn,263,7.89
3.15.1.43,443,443,true,CMH,North America,US,Columbus,427,7.89
54.80.38.181,443,443,true,IAD,North America,US,Ashburn,373,7.89
67.226.221.3,443,443,true,SJC,North America,US,San Jose,562,7.89
3.144.76.2,443,443,true,IAD,North America,US,Ashburn,315,7.89
3.252.54.156,443,443,true,DUB,Europe,IE,Dublin,333,7.89
35.175.225.26,443,443,true,IAD,North America,US,Ashburn,266,7.89
52.91.81.62,443,443,true,IAD,North America,US,Ashburn,251,7.88
18.188.23.81,443,443,true,IAD,North America,US,Ashburn,349,7.88
3.144.139.5,443,443,true,IAD,North America,US,Ashburn,294,7.88
3.82.61.218,443,443,true,IAD,North America,US,Ashburn,285,7.88
3.22.235.6,443,443,true,IAD,North America,US,Ashburn,383,7.88
3.134.106.170,443,443,true,IAD,North America,US,Ashburn,272,7.88
3.20.236.49,443,443,true,IAD,North America,US,Ashburn,277,7.88
3.74.42.35,443,443,true,FRA,Europe,DE,Frankfurt,337,7.88
34.201.71.70,8443,443,true,IAD,North America,US,Ashburn,251,7.87
18.222.253.98,443,443,true,IAD,North America,US,Ashburn,296,7.87
18.217.27.134,443,443,true,IAD,North America,US,Ashburn,692,7.87
18.116.199.32,443,443,true,IAD,North America,US,Ashburn,240,7.87
3.142.221.241,443,443,true,IAD,North America,US,Ashburn,372,7.87
3.19.68.209,443,443,true,IAD,North America,US,Ashburn,311,7.86
3.16.46.34,443,443,true,IAD,North America,US,Ashburn,433,7.86
18.222.185.251,443,443,true,IAD,North America,US,Ashburn,324,7.85
18.118.18.18,443,443,true,IAD,North America,US,Ashburn,286,7.85
3.21.167.61,443,443,true,IAD,North America,US,Ashburn,400,7.85
18.223.20.123,443,443,true,IAD,North America,US,Ashburn,378,7.85
52.14.160.245,443,443,true,CMH,North America,US,Columbus,240,7.85
54.160.45.65,8443,443,true,IAD,North America,US,Ashburn,318,7.85
3.78.187.210,443,443,true,FRA,Europe,DE,Frankfurt,364,7.85
3.133.85.167,443,443,true,IAD,North America,US,Ashburn,284,7.85
18.118.29.120,443,443,true,IAD,North America,US,Ashburn,324,7.84
52.59.4.76,443,443,true,FRA,Europe,DE,Frankfurt,323,7.84
3.16.164.74,443,443,true,IAD,North America,US,Ashburn,379,7.84
18.190.157.76,443,443,true,IAD,North America,US,Ashburn,380,7.84
51.44.86.78,443,443,true,CDG,Europe,FR,Paris,256,7.84
44.200.8.222,443,443,true,IAD,North America,US,Ashburn,288,7.84
3.144.228.202,443,443,true,CMH,North America,US,Columbus,305,7.84
3.16.155.211,443,443,true,IAD,North America,US,Ashburn,352,7.83
3.143.170.141,443,443,true,IAD,North America,US,Ashburn,311,7.83
3.81.210.73,443,443,true,IAD,North America,US,Ashburn,291,7.83
16.171.162.178,443,443,true,CPH,Europe,DK,Copenhagen,224,7.83
3.86.85.68,443,443,true,IAD,North America,US,Ashburn,261,7.83
18.222.239.35,443,443,true,IAD,North America,US,Ashburn,271,7.83
54.234.104.3,443,443,true,IAD,North America,US,Ashburn,282,7.83
54.242.240.123,8443,443,true,IAD,North America,US,Ashburn,359,7.82
34.203.192.165,443,443,true,IAD,North America,US,Ashburn,358,7.82
18.216.159.105,443,443,true,IAD,North America,US,Ashburn,336,7.82
3.223.140.47,443,443,true,IAD,North America,US,Ashburn,252,7.82
3.141.164.107,443,443,true,IAD,North America,US,Ashburn,352,7.82
44.199.225.25,443,443,true,IAD,North America,US,Ashburn,269,7.82
3.131.91.78,443,443,true,IAD,North America,US,Ashburn,329,7.82
18.117.110.1,443,443,true,IAD,North America,US,Ashburn,275,7.82
3.75.14.115,8443,443,true,FRA,Europe,DE,Frankfurt,302,7.82
3.133.113.199,443,443,true,CMH,North America,US,Columbus,355,7.82
3.17.23.86,443,443,true,IAD,North America,US,Ashburn,285,7.81
18.220.61.217,443,443,true,IAD,North America,US,Ashburn,340,7.81
3.144.134.61,443,443,true,IAD,North America,US,Ashburn,233,7.81
3.15.163.205,443,443,true,IAD,North America,US,Ashburn,285,7.81
3.223.127.12,443,443,true,IAD,North America,US,Ashburn,290,7.81
3.19.245.58,443,443,true,IAD,North America,US,Ashburn,284,7.81
3.137.41.46,443,443,true,CMH,North America,US,Columbus,395,7.81
67.226.221.128,80,443,true,SJC,North America,US,San Jose,568,7.81
3.22.63.132,443,443,true,IAD,North America,US,Ashburn,263,7.81
52.91.237.43,443,443,true,IAD,North America,US,Ashburn,269,7.80
